date,aqi_pm2.5,max_temp_f,avg_temp_f,min_temp_f,max_dew_point_f,avg_dew_point_f,min_dew_point_f,max_humidity_percent,avg_humidity_percent,min_humidity_percent,max_wind_speed_mph,avg_wind_speed_mph,min_wind_speed_mph,max_pressure_in,avg_pressure_in,min_pressure_in
01-06-19,222,115,101,88,64,56.2,39,40,24.6,10,18,4.2,0,28.8,28.8,28.7
02-06-19,170,115,100.3,86,64,61.1,57,45,28.6,16,9,5.9,0,28.9,28.8,28.7
03-06-19,223,109,96.5,84,66,61.4,57,49,33.1,18,41,10.3,0,28.8,28.1,0
04-06-19,153,106,92.1,81,72,64.3,57,52,40.1,29,20,9.8,0,28.8,28.8,28.7
05-06-19,157,111,94.8,82,68,60.5,52,55,34.1,15,15,8.3,0,28.8,28.8,28.8
06-06-19,129,108,95,82,59,53,48,42,26,15,16,10.1,5,28.9,28.8,28.8
07-06-19,149,109,96.2,79,63,56.1,54,45,28,16,9,5.9,3,28.9,28.9,28.9
08-06-19,156,109,96.9,82,63,59.3,54,48,30.2,17,12,6.3,3,28.9,28.9,28.8
09-06-19,160,111,98.3,84,64,59.5,55,40,28.9,17,8,4.2,0,28.8,28.8,28.7
10-06-19,168,115,100.9,86,63,59.3,55,40,26.5,14,7,5,0,28.8,28.7,28.6
11-06-19,171,111,99.9,88,66,57.7,50,41,26.6,13,23,10.7,0,28.7,28.7,28.6
12-06-19,160,102,90.7,75,66,64.8,61,69,43.5,31,29,14.8,3,28.8,28.7,28.6
13-06-19,142,106,91.4,79,66,62.3,57,61,40,26,9,5.2,0,28.9,28.8,28.8
14-06-19,156,109,95.8,82,63,56.2,50,51,28.9,15,14,6.1,0,28.8,28.8,28.7
15-06-19,188,109,93.4,82,68,60.7,55,58,35.2,23,37,11.4,0,28.8,28.7,28.7
16-06-19,154,102,91.7,82,68,63.3,61,58,40.6,26,17,8.1,3,28.8,28.8,28.7
17-06-19,153,106,90.5,72,73,68.1,59,94,51.6,28,25,10,3,28.9,28.8,28.7
18-06-19,128,88,80.9,73,70,66.3,63,78,61.7,51,15,7.6,5,28.9,28.8,28.8
19-06-19,169,100,88.6,77,73,69.3,64,78,54.4,34,12,5,0,28.8,28.8,28.7
20-06-19,153,99,83.6,72,72,68.4,64,94,61.6,39,46,11.4,0,28.9,27.2,0
21-06-19,188,99,88.4,77,70,66.9,64,69,50.8,35,12,5.5,0,28.9,28.9,28.8
22-06-19,159,106,94.5,82,72,66.4,61,66,42.2,24,12,6.2,0,29,28.8,28.7
23-06-19,160,104,90.5,84,70,66.6,63,58,46.1,29,37,8.6,0,28.9,28.8,28.8
24-06-19,163,84,80.4,73,75,69.8,64,94,71.6,51,16,5.8,0,29,28.9,28.8
25-06-19,176,97,87.6,75,77,74,70,89,65.3,50,7,1.2,0,28.9,28.9,28.8
26-06-19,166,106,93.5,82,75,72.1,66,79,52,31,46,6.9,0,28.9,28.8,28.7
27-06-19,135,106,92.7,79,68,60.3,52,69,37.5,18,12,7,0,28.8,27.4,0
28-06-19,186,106,95.3,84,66,64.4,61,48,36.8,28,29,5.6,0,28.8,28.7,28.6
29-06-19,151,108,97.5,86,171,65,54,48,31.5,0,18,7.6,0,28.7,28.7,28.6
30-06-19,149,111,96.6,84,64,62,57,45,32.7,19,18,7.1,0,28.8,28.7,28.6
01-07-19,152,109,96.9,86,72,67.8,63,52,39.5,29,39,9,0,28.8,27.5,0
02-07-19,156,104,95,82,70,68.1,66,66,42.4,29,12,7.2,3,28.8,28.8,28.7
03-07-19,158,106,95.9,86,73,69,63,58,42.4,30,12,6.4,3,28.8,28.7,28.7
04-07-19,154,104,90,75,81,71.2,64,89,55.9,35,40,10.4,3,28.8,28.7,28.7
05-07-19,124,99,85.6,75,77,71.5,66,83,64,50,17,8.2,5,28.8,28.7,28.6
06-07-19,141,90,84.1,73,77,71,66,100,66.3,49,77,14.4,7,28.7,28.6,28.6
07-07-19,149,95,87.7,82,77,74.2,68,84,65.3,46,12,8.5,5,28.7,28.7,28.6
08-07-19,155,100,91.5,82,81,75,70,75,58.8,44,14,8.9,0,28.7,28.6,28.6
09-07-19,127,93,87.6,79,81,76.7,73,89,71.1,56,23,13.6,7,28.7,27.2,0
10-07-19,153,97,88.4,82,79,74.8,72,74,64.2,49,17,11,7,28.7,28.6,28.6
11-07-19,139,93,86.5,75,81,76,72,94,71.6,59,40,11,6,28.7,28.6,28.6
12-07-19,171,93,87.8,82,77,73.2,70,84,62.4,52,17,9.7,6,28.8,28.7,28.6
13-07-19,139,93,84.7,72,73,71.3,68,94,64.6,49,35,11.4,6,28.8,28.7,28.6
14-07-19,89,84,80.1,72,79,73,70,100,79.9,66,23,13,3,28.8,28.7,28.7
15-07-19,137,86,80.4,73,75,72.5,68,100,77.1,66,18,12,9,28.7,28.7,28.6
16-07-19,119,82,76.6,73,79,73.5,72,100,90.9,79,18,12.7,9,28.8,28.8,28.7
17-07-19,103,88,81.5,73,75,73,72,94,76.2,58,15,11.6,7,28.9,28.8,28.8
18-07-19,119,93,85.7,77,77,73,68,89,66.7,52,15,11.3,7,28.9,28.8,28.8
19-07-19,133,91,85.7,81,79,75.7,73,84,72.6,59,21,12.6,7,28.9,28.8,28.8
20-07-19,136,95,84.7,79,77,73.2,68,83,68.8,53,12,5.9,0,28.9,28.9,28.8
21-07-19,135,97,87.8,79,81,75.3,70,84,67.2,50,12,7.5,3,28.9,28.9,28.8
22-07-19,156,99,91.2,84,81,77.8,73,84,66.1,50,18,7.1,0,28.9,28.8,28.8
23-07-19,164,99,90.7,84,79,76.2,73,79,63,50,12,5.4,0,28.8,28.8,28.7
24-07-19,156,102,89.8,84,81,77.6,75,79,68,42,12,6.7,3,28.8,28,0
25-07-19,105,86,80.5,73,79,75.2,73,100,84.8,74,23,10.8,5,28.8,28.8,28.7
26-07-19,103,88,82.8,79,77,74.7,73,89,77.4,66,14,9.1,1,28.8,28.7,28.7
27-07-19,108,88,82.6,79,79,74,70,89,75.8,66,29,11.5,7,28.8,28.8,28.7
28-07-19,123,84,80,77,79,73.6,70,94,80.6,66,18,10.9,7,28.9,28.8,28.8
29-07-19,123,95,86.8,79,79,74.9,73,84,69.2,56,20,11.8,3,28.9,28.9,28.8
30-07-19,125,95,85.6,0,81,75.1,0,84,68.9,0,17,5.8,0,28.9,28.1,0
31-07-19,106,90,84.4,79,79,76.6,73,89,77.8,66,18,12.7,7,28.8,28.8,28.8
01-08-19,116,91,80.1,73,77,74,72,100,82.7,63,25,8.5,3,28.8,28.8,28.7
02-08-19,78,88,81.2,75,75,73.1,70,89,76.8,62,12,7.7,5,28.8,28.7,28.7
03-08-19,101,91,85.2,79,79,75.2,73,84,73.2,59,12,7.7,3,28.8,28.8,28.7
04-08-19,113,97,87.6,0,77,73.9,0,79,62.6,0,8,5.6,0,28.8,28.7,28.6
05-08-19,105,100,91.2,84,79,77.7,75,84,65.4,50,12,6.9,3,28.7,28.7,28.6
06-08-19,141,93,87.3,81,77,75.3,73,79,68.2,59,17,8.3,3,28.7,28.6,28.6
07-08-19,114,91,85.7,79,77,73.7,70,79,68,59,15,8,3,28.8,28,0
08-08-19,164,97,87.6,0,77,74.4,0,79,63.7,0,14,5.9,0,28.7,28.1,0
09-08-19,154,88,84.6,79,79,76.7,75,89,77.1,70,18,8.1,0,28.8,28.8,28.7
10-08-19,143,91,85.7,79,79,76.2,73,89,74.2,62,14,7.6,5,28.8,28.8,28.8
11-08-19,104,95,88.6,82,79,75.9,72,84,66.7,56,12,6,3,28.9,28.8,28.8
12-08-19,112,99,90.3,79,81,76.1,72,84,64.5,47,17,6.8,0,28.8,28.8,28.7
13-08-19,104,97,88.3,82,82,78.5,75,84,73,56,15,8.3,0,28.9,28.8,28.8
14-08-19,123,91,87.2,82,79,77.3,75,89,72.6,62,14,7.8,3,28.9,28.9,28.8
15-08-19,113,97,88.9,84,81,78.3,75,84,71.1,53,12,5.8,0,28.9,28.9,28.8
16-08-19,98,91,82.2,77,84,76.6,70,94,83.2,66,23,7.3,3,28.8,28.2,0
17-08-19,85,84,79,75,77,73.1,70,94,82,74,21,8.3,3,28.9,28.8,28.8
18-08-19,119,95,82.4,73,75,71.9,68,94,71.4,47,12,4.2,0,28.9,28.9,28.8
19-08-19,98,97,85.5,77,73,72,68,83,65.4,47,14,7.1,0,29,29,28.9
20-08-19,133,100,89.5,81,77,73.9,72,79,62,42,12,4.4,0,29,28.2,0
21-08-19,142,100,90,82,79,74,72,84,60.9,39,9,5.4,3,28.9,28.9,28.8
22-08-19,129,97,88.9,81,77,73.8,72,79,62.3,50,13,4.6,0,28.9,28.9,28.8
23-08-19,131,97,87.8,81,81,74.3,72,79,65.7,49,51,7,0,28.9,28.9,28.8
24-08-19,157,100,86.9,75,79,74.3,70,100,67.5,42,21,6,0,28.9,28.9,28.8
25-08-19,144,95,87.7,81,81,78.3,72,89,73.8,63,14,6.3,0,28.9,28.9,28.8
26-08-19,115,93,86.2,81,77,74.6,72,84,69.8,56,13,5.7,0,28.9,28.9,28.1
27-08-19,160,95,85.3,81,82,75.5,73,89,73,53,17,2.3,0,28.9,28.9,28.8
28-08-19,198,99,88.5,81,81,77,75,84,70.1,50,9,2.2,0,29,28.9,28.8
29-08-19,160,100,90.3,81,81,77.6,75,84,67.2,50,7,2.9,0,28.9,28.9,28.8
30-08-19,143,95,86.6,75,84,78,73,94,73.5,0,16,5.5,0,28.9,28.8,28.8
31-08-19,174,100,86,81,82,76.9,75,84,75.3,47,12,4.5,0,28.8,28.1,0
01-09-19,146,93,81.4,75,79,73,68,89,75.7,59,29,5.3,0,28.9,28.8,28.8
02-09-19,148,93,83.7,75,77,72.3,68,83,69.1,49,12,6.9,3,28.9,28.9,28.8
03-09-19,166,95,88.7,81,81,77.4,75,84,69.4,59,9,2.9,0,28.9,28.8,28.8
04-09-19,167,100,90.8,82,81,78,75,84,66.9,47,9,3.7,0,28.9,28.8,28.7
05-09-19,101,95,86.9,79,75,73.6,73,83,66.2,49,17,7,3,28.9,28.8,28.8
06-09-19,136,95,87.6,81,77,75,72,84,66.9,55,12,5.3,0,28.8,28.8,28.7
07-09-19,133,93,86.4,82,77,75,72,79,69.2,55,29,7.2,3,28.9,28.8,28.8
08-09-19,163,99,89.5,81,81,77.3,73,84,67.7,49,9,5.5,0,28.9,28.9,28.8
09-09-19,155,100,90.5,82,79,76.7,75,84,65.5,44,9,2.4,0,28.9,28.8,28.8
10-09-19,151,100,89.8,84,79,75.2,72,84,63.3,42,3,0.7,0,28.8,28.8,28.7
11-09-19,155,102,91,82,77,73.7,70,79,58.5,40,6,1.5,0,28.9,28.8,28.8
12-09-19,162,99,90.3,84,79,74.2,72,70,60.2,47,10,3.3,0,28.9,28.9,28.8
13-09-19,157,97,88.2,82,77,75.8,72,84,67.4,50,9,4.6,0,28.9,28.3,0
14-09-19,159,99,88.8,82,79,76.9,75,89,68.8,50,6,2.8,0,28.9,28.9,28.9
15-09-19,158,95,87.8,82,79,75.5,70,84,67.5,55,7,1.8,0,29,28.9,28.9
16-09-19,145,99,87.4,79,75,66.6,61,74,51.6,30,23,5.2,0,28.9,28.9,28.8
17-09-19,136,95,87,77,75,70.9,64,78,59.5,44,12,7,3,28.9,28.9,28.8
18-09-19,159,97,87.6,79,75,73.1,72,79,63.1,47,13,6.7,2,29,29,28.9
19-09-19,133,90,83.4,79,77,74.2,72,84,74.7,62,17,11,6,29.2,29.1,29
20-09-19,128,91,83.4,77,73,72.4,72,89,69.7,52,14,8.2,5,29.1,29.1,29
21-09-19,183,95,86.1,77,75,71.6,68,89,64.1,41,12,4.9,0,29.1,29,28.9
22-09-19,155,93,84.4,77,75,70.8,68,79,64.8,44,12,4.3,0,29.1,29,29
23-09-19,130,91,81.7,0,72,69.2,0,83,63.7,0,9,4,0,29.2,29.1,29
24-09-19,133,95,85.3,77,75,71.9,70,79,64.7,46,7,2.3,0,29.2,29.1,29
25-09-19,150,93,86,79,75,72.2,70,83,64.3,49,6,2.8,0,29.2,29.1,29.1
26-09-19,161,91,84.8,77,73,71.4,68,83,64.6,52,9,3.1,0,29.2,29.1,29.1
27-09-19,156,90,82.5,79,75,72.3,70,84,72.1,59,12,4.8,0,29.2,29.1,29
28-09-19,116,90,77.2,72,73,70.4,66,94,79.5,55,35,10,0,29.1,29.1,29
29-09-19,93,82,75.8,70,73,69.9,66,89,82.6,74,14,6.7,0,29.2,29.1,29.1
30-09-19,183,86,78.2,70,72,68.7,64,88,73.3,58,9,5.3,1,29.1,29.1,29
01-10-19,142,86,78,72,72,65.8,61,88,67.1,45,15,6.5,3,29.1,29.1,29
02-10-19,162,90,80,72,68,64.9,63,83,61.4,40,9,5,0,29.1,29.1,29
03-10-19,163,88,77.5,70,72,67.3,61,94,70.9,55,46,8.1,0,29.2,29.1,29
04-10-19,185,82,73.5,68,70,66.1,64,94,78.6,62,14,8.8,5,29.2,29.1,29.1
05-10-19,,88,77.5,68,68,64.3,61,88,66.2,43,9,6,2,29.2,29.1,29.1
06-10-19,,86,78.1,70,68,66.3,64,83,68.1,51,15,7.9,3,29.2,29.1,29.1
07-10-19,144,88,78.1,70,64,62,57,83,59.9,35,12,7.5,0,29.3,29.2,29.1
08-10-19,155,93,79.4,70,64,60.9,55,78,55.2,33,12,5.8,0,29.2,29.1,29.1
09-10-19,185,91,80.6,70,66,62.1,59,78,54.8,36,9,3.4,0,29.2,29.1,29.1
10-10-19,184,91,80.5,70,66,63.4,63,83,57.6,38,6,2.3,0,29.2,29.1,29.1
11-10-19,224,91,80.7,70,66,62.4,59,88,55.7,34,10,1.6,0,29.2,29.1,29.1
12-10-19,192,90,79.3,72,66,62.7,57,78,58.5,33,14,2.3,0,29.2,29.1,29.1
13-10-19,200,93,80.7,70,68,64.2,61,83,59.3,34,7,2.7,0,29.2,29.2,29.1
14-10-19,200,93,82.3,72,68,63.6,61,78,55.6,34,6,2,0,29.2,29.2,29.1
15-10-19,188,91,81.9,72,68,64.8,64,83,58.3,41,7,2.6,0,29.2,29.2,29.2
16-10-19,223,90,80,70,70,64.8,63,83,61.6,40,7,2.4,0,29.3,29.2,29.2
17-10-19,246,88,78.2,72,70,66.1,63,78,67,51,21,4.5,0,29.3,29.2,29.1
18-10-19,156,84,72.7,64,66,59.6,54,94,65.1,40,23,15.2,7,29.4,29.3,29.2
19-10-19,163,86,71.9,0,63,56.7,0,82,58.5,0,15,8.9,6,29.3,29.3,29.2
20-10-19,165,86,74.4,66,63,58.5,54,83,60.2,33,15,7.7,0,29.3,29.2,29.2
21-10-19,187,88,74.9,64,64,58.3,50,88,59.4,27,13,5.9,0,29.3,29.2,29.1
22-10-19,193,88,75.6,66,61,57.5,50,78,56,27,14,8.3,2,29.2,29.1,29
23-10-19,213,88,78.2,64,66,59.9,57,83,55.6,35,12,5.3,0,29.1,29.1,29
24-10-19,237,88,77.6,66,64,62.4,59,88,60.9,40,6,2,0,29.2,29.1,29.1
25-10-19,253,88,76.5,66,64,62.8,61,88,64,40,6,2.5,0,29.2,29.1,29.1
26-10-19,294,88,76.1,64,64,61,55,88,61.8,33,9,1.9,0,29.3,29.2,29.2
27-10-19,265,88,76.7,68,63,57.2,52,83,54,29,14,5.4,0,29.2,29.2,29.1
28-10-19,297,88,75.5,64,68,62.6,55,83,65.1,49,10,3,0,29.2,29.2,29.2
29-10-19,315,86,75.8,64,68,63.6,59,88,66.5,51,9,2.3,0,29.3,29.2,29.2
30-10-19,374,86,75.2,64,64,60.9,50,88,62.3,42,6,1.8,0,29.2,29.2,29.1
31-10-19,338,88,75.6,63,63,57.7,54,88,56.9,31,6,1.5,0,29.2,27.9,0
01-11-19,402,79,71.6,64,63,59,54,83,65.8,42,9,2.5,0,29.2,29.2,29.1
02-11-19,288,81,71.8,63,61,58.3,55,83,64.1,45,6,2,0,29.2,29.2,29.2
03-11-19,255,81,73.1,66,64,62.4,61,88,69.5,51,12,3,0,29.3,29.2,29.2
04-11-19,248,84,73.3,63,61,56.9,52,88,59.3,37,12,3.1,0,29.3,29.2,29.2
05-11-19,204,86,73.1,63,59,54.3,50,82,53.6,29,10,2.6,0,29.2,29.1,29.1
06-11-19,266,84,72.3,63,59,54.3,48,83,55.8,30,21,8.9,0,29.1,29,28.9
07-11-19,136,75,65.8,59,63,57.3,52,88,74.8,61,25,10.5,3,29.2,29.1,29
08-11-19,165,75,65.2,55,57,54.9,52,88,70.7,47,14,4.6,0,29.3,29.3,29.2
09-11-19,200,81,67,57,55,50.6,45,82,59.4,28,6,2.1,0,29.3,29.2,29.2
10-11-19,182,79,65.3,52,194,52,39,88,57,0,6,1.1,0,29.3,29.2,29.2
11-11-19,207,79,67,55,54,49.9,45,88,57.6,30,5,0.8,0,29.2,29.2,29.2
12-11-19,272,77,66.5,54,55,51.3,46,82,59.6,36,5,1.2,0,29.3,29.2,29.2
13-11-19,370,77,66.9,57,59,55.4,52,88,67.8,47,6,1.6,0,29.3,29.3,29.2
14-11-19,369,73,65.4,59,59,55.3,52,88,71.4,50,7,1.7,0,29.4,29.3,29.3
15-11-19,286,79,66.3,54,61,53.6,50,88,65.3,44,5,0.6,0,29.3,29.3,29.2
16-11-19,259,77,68.1,61,61,57.5,54,88,70.2,47,9,3.2,0,29.4,29.3,29.2
17-11-19,188,79,67.7,55,57,53.7,50,88,62.6,39,9,5.2,0,29.4,29.3,29.1
18-11-19,214,79,67.8,57,57,53.1,50,82,61.3,36,9,2.7,0,29.3,29.2,29.2
19-11-19,299,77,66.1,55,57,52.6,50,88,63.6,39,6,1.3,0,29.3,29.2,29.2
20-11-19,310,75,63.8,54,54,48.9,43,88,61,31,8,1.3,0,29.3,29.2,29.2
21-11-19,451,72,61.9,54,59,54.7,52,94,77.7,60,5,0.6,0,29.4,29.3,29.3
22-11-19,319,72,62.5,54,55,53.5,50,94,73.2,53,14,3.3,0,29.4,28.6,0
23-11-19,181,75,66.7,59,57,52.4,48,82,62,38,12,3.6,0,29.4,29.3,29.3
24-11-19,186,77,66.8,57,57,49.4,45,88,56.7,32,7,1.8,0,29.3,29.3,29.2
25-11-19,236,75,65.1,55,52,48.6,45,82,57.5,34,5,0.9,0,29.3,29.3,29.2
26-11-19,333,72,63.7,54,64,50.1,45,88,63.4,38,9,2.9,0,29.4,29.3,29.2
27-11-19,186,72,65.1,55,59,54.5,48,88,69.8,57,7,2.6,0,29.3,29.3,29.2
28-11-19,227,70,62.7,57,57,55.4,54,88,78,60,7,2.5,0,29.4,29.3,29.2
29-11-19,221,79,62.9,55,55,51,46,94,67.4,39,5,2,0,29.4,29.3,28.6
30-11-19,200,73,62.4,52,64,47.7,43,94,61.7,33,6,1,0,29.4,29.3,29.2
01-12-19,254,73,60.6,50,50,45.9,39,88,62.1,31,6,0.5,0,29.3,29.3,29.2
02-12-19,273,73,61.1,48,50,43.5,34,87,57.4,23,12,1.9,0,29.4,29.3,29.3
03-12-19,276,73,60.9,46,46,42.5,36,87,54.8,25,6,0.6,0,29.3,29.3,29.2
04-12-19,324,73,59.3,46,48,44.5,43,87,61,33,3,0.3,0,29.4,29.3,29.3
05-12-19,333,70,57.7,46,48,45.4,43,93,65.2,40,0,0,0,29.5,29.4,29.4
06-12-19,370,196,61.3,46,63,46.8,43,94,67.3,1,6,1.2,0,29.5,29.4,29.4
07-12-19,317,75,58.4,43,50,43.3,39,87,61.6,27,3,0.1,0,29.4,29.4,29.3
08-12-19,369,72,58.3,45,52,47.9,39,87,69.7,46,3,0.2,0,29.4,29.4,29.3
09-12-19,337,68,57.9,46,52,47.2,43,87,68.7,52,0,0,0,29.4,29.3,29.3
10-12-19,478,66,55,45,46,44.6,41,93,69.6,49,2,0.1,0,29.3,29.2,29.2
11-12-19,380,66,53,45,48,44.8,41,87,71.7,0,5,0.4,0,29.3,29.2,29.2
12-12-19,281,59,54.1,50,52,49.4,45,94,84.1,72,12,4.2,0,29.2,29.2,29.1
13-12-19,171,57,54.3,52,54,50.8,48,94,88,82,9,3.1,0,29.3,29.2,29.1
14-12-19,224,59,54.1,50,52,47.9,46,88,80.3,67,6,1.2,0,29.5,29.4,29.3
15-12-19,192,61,53,46,50,46.6,43,94,79.6,55,9,2.5,0,29.4,29.4,29.4
16-12-19,189,59,50,43,48,44.7,41,94,82.4,59,10,3.8,0,29.4,29.4,29.4
17-12-19,260,59,50.4,43,50,46.6,41,100,87.8,72,5,1.3,0,29.5,29.4,29.4
18-12-19,294,57,50.2,43,50,46,41,100,86.3,72,5,1.1,0,29.4,29.4,29.3
19-12-19,236,54,48.6,43,46,43.8,39,100,83.7,71,6,1.4,0,29.4,29.3,29.3
20-12-19,417,54,49,43,48,44.8,39,100,85.8,76,3,0.2,0,29.3,29.3,29.2
21-12-19,305,61,48.5,45,50,46.5,45,100,93.1,68,7,1.6,0,29.4,29.3,29.2
22-12-19,276,59,48.2,0,48,44.4,0,100,84.9,0,6,0.7,0,29.4,29.4,29.3
23-12-19,313,54,48.2,45,46,44.8,43,100,88,76,5,1.6,0,29.4,29.3,29.3
24-12-19,280,54,46.7,0,45,41.5,0,93,79.9,0,7,3,0,29.4,29.4,29.3
25-12-19,282,50,45.8,43,43,42,39,100,86.6,76,6,2.3,0,29.4,29.4,29.3
26-12-19,296,52,45.4,41,43,40.3,36,93,83,62,7,2.1,0,29.4,29.3,29.3
27-12-19,315,52,44.5,39,41,38.4,34,93,80,58,3,0.4,0,29.4,29.4,29.3
28-12-19,330,48,44.5,41,41,39,37,87,82.4,71,6,1.9,0,29.4,28.8,0
29-12-19,312,54,45.6,41,39,37.8,37,87,76.2,54,5,0.7,0,29.5,29.4,29.3
30-12-19,,46,41.5,37,39,37.7,36,100,87.7,76,7,2.1,0,29.4,29.4,29.3
31-12-19,,46,40.2,37,39,37.7,32,100,91.3,76,8,1.8,0,29.5,29.4,29.4
01-01-20,355,52,43.1,36,45,39.4,32,100,86.8,71,6,1.8,0,29.5,29.4,29.4
02-01-20,375,63,49.2,39,46,41.9,36,93,77.1,48,7,2.2,0,29.5,28.8,0
03-01-20,311,68,53.3,43,43,38.6,34,87,61.3,30,6,1.7,0,29.4,29.4,29.3
04-01-20,370,61,51.6,41,46,41.1,37,93,69.5,45,3,0.1,0,29.4,29.3,29.3
05-01-20,246,59,51.7,43,48,43.9,39,88,76.1,54,7,2.2,0,29.4,29.3,29.3
06-01-20,189,52,48.6,46,48,46,45,94,90,87,12,5.6,0,29.4,29.4,29.3
07-01-20,238,52,50.2,48,52,47.5,45,100,90.5,82,7,1.2,0,29.4,29.3,29.2
08-01-20,199,54,49.5,45,48,44.6,41,100,83.7,67,7,2.2,0,29.3,29.3,29.2
09-01-20,199,59,50.3,43,43,40.9,37,93,71.5,48,8,1.5,0,29.4,29.4,29.3
10-01-20,216,63,50.5,39,43,37.4,30,87,64.5,30,12,3.7,0,29.4,29.4,29.4
11-01-20,225,64,53.8,45,45,41.1,34,87,64.4,34,9,3,0,29.4,29.4,29.3
12-01-20,206,66,57.3,52,48,44.2,41,82,63.1,40,14,4.4,0,29.4,29.3,29.1
13-01-20,164,54,51,46,54,47.9,41,100,89.8,76,21,9.7,0,29.2,29.1,28.9
14-01-20,183,55,48.6,45,45,42.9,39,93,80.7,58,8,3,0,29.3,29.3,29.2
15-01-20,205,57,48.4,41,50,44.1,39,100,85.6,67,6,1.3,0,29.4,29.3,29.3
16-01-20,250,61,50,41,50,45.1,41,100,85.3,59,9,1.7,0,29.3,29.3,29.2
17-01-20,334,61,50.2,39,50,45.9,39,100,86,68,5,0.6,0,29.3,29.3,29.2
18-01-20,337,59,49.5,39,48,44,39,100,82.1,67,6,1.2,0,29.4,29.3,29.3
19-01-20,327,63,51.7,43,50,44.2,41,100,77.7,48,10,2,0,29.4,29.4,29.3
20-01-20,224,66,54.8,45,45,39.8,28,87,61.6,24,9,2.8,0,29.4,29.3,29.3
21-01-20,173,63,56.5,50,46,45.4,43,82,67.4,48,10,5.7,0,29.4,29.4,29.3
22-01-20,173,64,55.5,46,45,43.6,39,82,64.8,45,100,8.7,0,29.5,29.4,29.4
23-01-20,187,64,54.3,45,45,39.1,32,87,60.2,30,15,4.9,0,29.4,29.4,29.3
24-01-20,202,68,54.9,43,45,36,23,87,54.8,19,12,2.9,0,29.3,29.3,29.2
25-01-20,237,66,56,48,45,40,28,82,58.3,24,9,2.8,0,29.3,29.3,29.2
26-01-20,291,70,56.7,43,46,41.5,37,87,60.2,33,12,2.5,0,29.3,29.2,29.2
27-01-20,278,66,54.3,46,55,47.5,43,94,79,49,12,3.5,0,29.2,29.1,29.1
28-01-20,205,55,52.4,50,55,50.1,46,100,92.8,87,9,3.5,0,29.1,29.1,29
29-01-20,183,61,53.5,48,52,47.8,45,94,81.7,72,9,3.3,0,29.4,29.3,29.1
30-01-20,226,61,52.3,45,50,46.3,43,100,81,59,9,2.9,0,29.4,29.3,29.3
31-01-20,113,66,54.5,43,48,45.4,39,87,72.9,52,8,2.6,0,29.3,29.2,29.2
01-02-20,34,61,52.9,45,54,47.5,41,88,82.1,72,5,0.6,0,29.4,29.3,29.2
02-02-20,33,66,54.4,45,46,41.1,34,93,64.5,30,7,1.6,0,29.4,29.4,29.3
03-02-20,33,70,55.7,43,45,40.2,34,93,60.3,28,6,1.6,0,29.4,29.3,29.2
04-02-20,38,61,52.6,43,46,43.6,39,87,72.1,55,14,3,0,29.4,29.3,29.2
05-02-20,33,66,54.6,43,46,41.4,39,87,63.7,40,9,3.4,0,29.4,29.3,29.2
06-02-20,33,68,55.8,45,48,44.3,39,87,67.2,43,8,1.3,0,29.3,29.3,29.2
07-02-20,33,68,56,45,46,41.8,36,87,61.5,34,6,1.2,0,29.4,29.4,29.3
08-02-20,34,66,56.1,45,46,40.2,34,87,58.6,30,12,3.1,0,29.5,29.4,29.4
09-02-20,31,68,56.7,45,48,43.6,39,87,64.4,35,12,2.7,0,29.5,29.4,29.4
10-02-20,34,70,57.3,43,46,42.8,39,93,61.5,35,12,3.4,0,29.4,29.4,29.3
11-02-20,116,70,58.3,46,52,46.6,41,87,67.1,43,7,1.7,0,29.4,29.4,29.3
12-02-20,186,70,60.1,52,50,47.8,43,88,66.3,40,14,4.8,0,29.4,29.4,29.3
13-02-20,181,73,61.4,54,50,45.5,39,82,59.1,35,15,7.2,0,29.4,29.3,29.2
14-02-20,138,73,61.3,50,46,42,34,82,52.6,28,21,10.7,2,29.2,29.2,29.2
15-02-20,158,77,63,50,45,39.8,34,71,46,22,15,7.3,0,29.2,29.2,29.1
16-02-20,180,79,65.5,50,55,45.3,37,77,51.2,28,12,2.9,0,29.3,29.3,29.2
17-02-20,203,79,63.8,52,54,43.6,34,88,53.5,20,12,4.2,0,29.4,29.3,29.3
18-02-20,199,81,64.4,52,48,41.5,32,82,49.1,17,9,4.1,0,29.3,29.2,29.1
19-02-20,185,72,62,50,57,49.3,45,82,64.4,46,23,10.5,3,29.2,29.1,29
20-02-20,173,70,62.7,54,55,52.3,48,88,69.3,60,21,10,0,29.2,29.2,29.1
